Feature,Coefficient
FG3A,-0.0
FG3M,0.0
FG3_PCT,2.8159409955672716
FG_PCT,4.243745291073337
FGA,-0.6326652329362835
FGM,-0.0
FTA,0.0
FTM,0.3751572295892096
REB,2.2507242461362824
AST,0.0
TOV,-2.1540813885109533
DREB,3.0037761502279867
BLK,0.425281961266576
STL,2.406448971188451
2P_PCT,0.0
Boston Celtics,0.0
Brooklyn Nets,-0.0
Charlotte Hornets,-0.0
Chicago Bulls,-0.0
Cleveland Cavaliers,0.0
Dallas Mavericks,0.0
Denver Nuggets,0.0
Detroit Pistons,-0.0
Golden State Warriors,-0.0
Houston Rockets,-0.0
Indiana Pacers,-0.0
LA Clippers,0.0
Los Angeles Clippers,0.0
Los Angeles Lakers,-0.0
Memphis Grizzlies,0.0
Miami Heat,0.0
Milwaukee Bucks,-0.0
Minnesota Timberwolves,-0.0
New Orleans Pelicans,-0.0
New York Knicks,-0.0
Oklahoma City Thunder,0.0
Orlando Magic,-0.0
Philadelphia 76ers,0.0
Phoenix Suns,0.0
Portland Trail Blazers,0.0
Sacramento Kings,-0.0
San Antonio Spurs,-0.0
Toronto Raptors,0.0
Utah Jazz,0.0
Washington Wizards,-0.0
SEASON_2015-16,-0.0
SEASON_2016-17,-0.0
SEASON_2017-18,-0.0
SEASON_2018-19,-0.0
SEASON_2019-20,-0.0
SEASON_2020-21,-0.0
SEASON_2021-22,-0.0
SEASON_2022-23,-0.0
FG3A^2,0.0
FG3A FG3M,0.0
FG3A FG3_PCT,0.0
FG3A FG_PCT,-0.0
FG3A FGA,0.0
FG3A FGM,0.0
FG3A FTA,-0.0
FG3A FTM,0.0
FG3A REB,0.0
FG3A AST,-0.0
FG3A TOV,-0.0
FG3A DREB,0.0
FG3A BLK,-0.0
FG3A STL,0.0
FG3A 2P_PCT,0.0
FG3A Boston Celtics,0.0
FG3A Brooklyn Nets,-0.0
FG3A Charlotte Hornets,-0.0
FG3A Chicago Bulls,-0.0
FG3A Cleveland Cavaliers,-0.0
FG3A Dallas Mavericks,-0.0
FG3A Denver Nuggets,0.0
FG3A Detroit Pistons,0.0
FG3A Golden State Warriors,0.0
FG3A Houston Rockets,0.0
FG3A Indiana Pacers,-0.0
FG3A LA Clippers,-0.0
FG3A Los Angeles Clippers,-0.0
FG3A Los Angeles Lakers,0.0
FG3A Memphis Grizzlies,-0.27314968264835093
FG3A Miami Heat,0.0
FG3A Milwaukee Bucks,0.29385197628866433
FG3A Minnesota Timberwolves,0.5169798547271288
FG3A New Orleans Pelicans,-0.0
FG3A New York Knicks,0.0
FG3A Oklahoma City Thunder,-0.2942133735805967
FG3A Orlando Magic,0.24121956841745817
FG3A Philadelphia 76ers,0.0
FG3A Phoenix Suns,0.0
FG3A Portland Trail Blazers,-0.0
FG3A Sacramento Kings,0.2221412588776544
FG3A San Antonio Spurs,-0.0
FG3A Toronto Raptors,0.0
FG3A Utah Jazz,0.0
FG3A Washington Wizards,-0.11284754597710674
FG3A SEASON_2015-16,0.3635074713589251
FG3A SEASON_2016-17,0.0
FG3A SEASON_2017-18,-0.0
FG3A SEASON_2018-19,0.18923880309472926
FG3A SEASON_2019-20,0.0
FG3A SEASON_2020-21,-0.0
FG3A SEASON_2021-22,-0.0
FG3A SEASON_2022-23,0.0
FG3M^2,0.29812366707004934
FG3M FG3_PCT,0.0
FG3M FG_PCT,-0.0
FG3M FGA,0.0
FG3M FGM,0.0
FG3M FTA,-0.0
FG3M FTM,0.0
FG3M REB,0.0
FG3M AST,0.0
FG3M TOV,0.0
FG3M DREB,-0.0
FG3M BLK,-0.0
FG3M STL,0.0
FG3M 2P_PCT,0.0
FG3M Boston Celtics,0.003956186019283157
FG3M Brooklyn Nets,-0.0
FG3M Charlotte Hornets,-0.0
FG3M Chicago Bulls,-0.0
FG3M Cleveland Cavaliers,-0.0
FG3M Dallas Mavericks,-0.20439381443497653
FG3M Denver Nuggets,0.0
FG3M Detroit Pistons,0.0
FG3M Golden State Warriors,0.03670422781017421
FG3M Houston Rockets,0.25484940282016866
FG3M Indiana Pacers,-0.0
FG3M LA Clippers,-0.0
FG3M Los Angeles Clippers,-0.0
FG3M Los Angeles Lakers,0.0
FG3M Memphis Grizzlies,-0.19120996036650867
FG3M Miami Heat,0.0
FG3M Milwaukee Bucks,0.0
FG3M Minnesota Timberwolves,0.0
FG3M New Orleans Pelicans,-0.0
FG3M New York Knicks,0.47827765450697657
FG3M Oklahoma City Thunder,-0.0
FG3M Orlando Magic,0.0
FG3M Philadelphia 76ers,0.0
FG3M Phoenix Suns,0.0
FG3M Portland Trail Blazers,-0.0
FG3M Sacramento Kings,0.0
FG3M San Antonio Spurs,-0.25098805268540564
FG3M Toronto Raptors,0.0
FG3M Utah Jazz,0.0
FG3M Washington Wizards,-0.0
FG3M SEASON_2015-16,0.0
FG3M SEASON_2016-17,0.0
FG3M SEASON_2017-18,-0.0
FG3M SEASON_2018-19,0.0
FG3M SEASON_2019-20,-0.0
FG3M SEASON_2020-21,0.0
FG3M SEASON_2021-22,-0.0
FG3M SEASON_2022-23,0.0
FG3_PCT^2,0.0
FG3_PCT FG_PCT,-0.0
FG3_PCT FGA,-0.0
FG3_PCT FGM,-0.0
FG3_PCT FTA,-0.0
FG3_PCT FTM,-0.0
FG3_PCT REB,-0.0
FG3_PCT AST,0.0
FG3_PCT TOV,0.0
FG3_PCT DREB,-0.0
FG3_PCT BLK,0.0
FG3_PCT STL,0.16147608563674526
FG3_PCT 2P_PCT,-0.0
FG3_PCT Boston Celtics,0.0
FG3_PCT Brooklyn Nets,-0.035402842366575815
FG3_PCT Charlotte Hornets,-0.0
FG3_PCT Chicago Bulls,-0.0
FG3_PCT Cleveland Cavaliers,0.0
FG3_PCT Dallas Mavericks,-0.0
FG3_PCT Denver Nuggets,-0.0
FG3_PCT Detroit Pistons,-0.0
FG3_PCT Golden State Warriors,0.0
FG3_PCT Houston Rockets,0.0
FG3_PCT Indiana Pacers,-0.0
FG3_PCT LA Clippers,-0.0
FG3_PCT Los Angeles Clippers,0.0
FG3_PCT Los Angeles Lakers,-0.0
FG3_PCT Memphis Grizzlies,-0.0
FG3_PCT Miami Heat,-0.0
FG3_PCT Milwaukee Bucks,-0.0
FG3_PCT Minnesota Timberwolves,0.0
FG3_PCT New Orleans Pelicans,0.0
FG3_PCT New York Knicks,0.0
FG3_PCT Oklahoma City Thunder,0.0
FG3_PCT Orlando Magic,-0.0
FG3_PCT Philadelphia 76ers,0.0
FG3_PCT Phoenix Suns,0.14260212202972847
FG3_PCT Portland Trail Blazers,0.0
FG3_PCT Sacramento Kings,-0.0
FG3_PCT San Antonio Spurs,-0.0
FG3_PCT Toronto Raptors,0.0
FG3_PCT Utah Jazz,0.0
FG3_PCT Washington Wizards,0.0
FG3_PCT SEASON_2015-16,0.0
FG3_PCT SEASON_2016-17,-0.34897160954884243
FG3_PCT SEASON_2017-18,-0.0
FG3_PCT SEASON_2018-19,-0.0
FG3_PCT SEASON_2019-20,-0.2713746672344162
FG3_PCT SEASON_2020-21,0.0
FG3_PCT SEASON_2021-22,-0.0
FG3_PCT SEASON_2022-23,0.0
FG_PCT^2,-0.0
FG_PCT FGA,0.0
FG_PCT FGM,-0.0
FG_PCT FTA,-0.0
FG_PCT FTM,-0.0
FG_PCT REB,-0.0
FG_PCT AST,0.0
FG_PCT TOV,0.04321814979100049
FG_PCT DREB,-0.0
FG_PCT BLK,-0.0
