Feature,Coefficient,abs_Coefficient
FG_PCT,4.310926912022293,4.310926912022293
DREB,3.0019061516030217,3.0019061516030217
FG3_PCT,2.782477764828663,2.782477764828663
STL,2.4226618884126956,2.4226618884126956
TOV,-2.295540832172569,2.295540832172569
REB,2.2179783151503503,2.2179783151503503
TEAM_ID_1610612745 SEASON_2015-16,-1.1999829363954335,1.1999829363954335
STL^2,0.9151949659078216,0.9151949659078216
FTM TEAM_ID_1610612756,-0.8982403454329055,0.8982403454329055
SEASON_2022-23^2,-0.863871433058398,0.863871433058398
